wav	source_processed	source_raw	target_raw
guarani000252.wav	eñeha'ãke akói eiko teko potĩme	"Eñeha'ãke akói eiko teko potĩme"	Esfuérzate siempre en tener un buen hábito
guarani000253.wav	upeichavérõ jepe ndoúi ha ndohói kalo'ípe	"Upeichavérõ jepe ndoúi ha ndohói Kalo'ípe."	Aún así, no le interesa a Carlos
guarani000254.wav	mba'érepa ogueraha mba'ehe'ẽ ijarýipe	"Mba'érepa ogueraha mba'ehe'ẽ ijarýipe."	¿Por qué lleva cosas dulces a su abuela?
guarani000255.wav	ha mba'e jajapóta ñande	"Ha mba'e jajapóta ñande."	¿Y qué haremos nosotros?
guarani000256.wav	péichantema opyta hikuái	Péichantema opyta hikuái.	De esta manera se quedaron
guarani000257.wav	omombe'u mba'éichapa heñói ha iñapysẽkuri ko aranduka	"Omombe'u mba'éichapa heñói ha iñapysẽkuri ko aranduka."	Cuenta de qué manera se originó y apareció este libro
guarani000258.wav	chekuerái	Chekuerái.	Estoy harto/ harta
guarani000259.wav	yvágagui rejúva	Yvágagui rejúva	Que vienes del cielo
guarani000260.wav	ojeruremavoíkuri hikuái peteĩ léi guasu	Ojeruremavoíkuri hikuái peteĩ Léi Guasu.	Ya habían solicitado una Constitución Nacional
guarani000261.wav	yvyrapã ojapo guajayvígui	Yvyrapã ojapo guajayvígui.	Realizó un arco del guayaibi
guarani000262.wav	pe vy'a ndahi'aréi	"Pe vy'a ndahi'aréi"	Esa felicidad no dura
guarani000263.wav	pukavy pa'ũme japáy ñapu'ã	"Pukavy pa'ũme japáy ñapu'ã."	Nos despertamos y levantamos en medio de sonrisas
guarani000264.wav	pyharepyte riregua niko	Pyharepyte riregua niko.	Es de después de la media noche
guarani000265.wav	upeichaite jekoraka e ojehúkuri	Upeichaite jekorakaʼe ojehúkuri.	Asimismo había sucedido
guarani000266.wav	agave rohóta ropurahéi chupe	Ag̃ave rohóta ropurahéi chupe.	Enseguida iremos a cantarle
guarani000267.wav	kuarahy ojope	Kuarahy ojope	El sol alumbra
guarani000268.wav	chopombe ndaje imitã guive oñangarekova'ekue ña antonia re	"Chopombe ndaje imitã guive oñangarekova'ekue Ña Antonia-re."	Se dice que el Pombero cuidaba de Doña Antonia desde que era una niña
guarani000269.wav	ha nde	Ha nde?	¿y vos?
guarani000270.wav	okyvérõnteke okyvehína	Okyvérõnteke okyvehína.	La lluvia está cesando
guarani000271.wav	mba'éichapa umi jagua saite ho'u ivurromíme	"Mba'éichapa umi jagua saite ho'u ivurromíme."	¿Cómo esos lobos han comido al burro?
guarani000272.wav	isy ohogue'ómiva'erã hetyma ha heviro'óre typycha hũ	"Isy ohogue'ómiva'erã hetyma ha heviro'óre typycha hũ."	Su madre debe rosarle con la escoba negra por su pierna y su trasero
guarani000273.wav	amombe'uporãta ndéve mba'éichapa reguahẽkuaa ore rogamíme	"Amombe'uporãta ndéve mba'éichapa reg̃uahẽkuaa ore rogamíme."	Te daré la dirección exacta para llegar a nuestro pequeño hogar
guarani000274.wav	oiko ka'aguýre	"Oiko ka'aguýre."	Circula por el bosque
guarani000275.wav	omoñaniseveseve hymba kavajukuéra	Omoñaniseveseve hymba kavajukuéra.	Querían hacer correr más, a sus caballos
guarani000276.wav	peteĩ guasu ra'ymi ha mokõi kakuaáva	"Peteĩ guasu ra'ymi ha mokõi kakuaáva."	Un venado pequeño y dos grandes
guarani000277.wav	kuña arandu omotenonde ha omomombaretéva ñane retã	kuña arandu omotenonde ha omomombaretéva ñane retã	Mujer inteligente que prioriza y fortifica nuestro país
guarani000278.wav	kuimba e katupyry omba apóva ikokuépe	Kuimbaʼe katupyry ombaʼapóva ikokuépe.	Varón guapo que trabaja en su chacra
guarani000279.wav	araka'eve jeko ndojehúi chupe ha itajyramíme mba'eve ivaíva	"Araka'eve jeko ndojehúi chupe ha itajyramíme mba'eve ivaíva."	Jamás le sucedió algo malo a él ni a su hija
guarani000280.wav	tapicha hetãrayhúva ho'a ñuhã guasúpe	"Tapicha hetãrayhúva ho'a ñuhã guasúpe"	Las personas que aman su patria, cayeron en una trampa
guarani000281.wav	avy'aitépa upéicharõ	"Avy'aitépa upéicharõ"	Me alegro tanto entonces
guarani000282.wav	guarani ñe'ẽténte ojepuru	"Guarani ñe'ẽténte ojepuru."	Se utiliza solamente el idioma Guaraní
guarani000283.wav	anatápente ojekuaavéva	Anatápente ojekuaavéva.	Se la conoce como "Anatá" (Anastasia)
guarani000284.wav	mba'érepiko reñemomombyryete orehegui	"Mba'érepiko reñemomombyryete orehegui."	¿Por qué te alejas tanto de nosotros?
guarani000285.wav	umi mba e ohesy tatápe	Umi mbaʼe ohesy tatápe.	Esas cosas las cocina al fuego
guarani000286.wav	ma'erãpiko ñañemoakãrasýta	"Ma'erãpiko ñañemoakãrasýta"	¿Para qué nos causaremos dolor de cabeza?
guarani000287.wav	vy'apópe ndaje oikókuri oñondive	"Vy'apópe ndaje oikókuri oñondive."	Se dice que vivían felices juntos
guarani000288.wav	opavave ijaty tupãópe omongaraívo pindo ojejapóva ogapýpe	opavave ijaty tupãópe omongaraívo pindo ojejapóva ogapýpe	Todos van a la iglesia para bendecir los ramos que prepararon en sus casas
guarani000289.wav	chéveramo guarã ahechahague peteĩ jaguarete	Chéveramo g̃uarã ahechahague peteĩ jaguarete	Me pareció ver un tigre
guarani000290.wav	ha jeko oguahẽvo peteĩ mbokaja tuja renondépe	Ha jeko og̃uahẽvo peteĩ mbokaja tuja renondépe.	Dice que al llegar frente a un viejo árbol de coco
guarani000291.wav	ha upéicha che irũnguéra	Ha upéicha che irũnguéra.	Y así, compañeros
guarani000292.wav	upéicha avei oisãmbyhy kuatiahaipyre itavapegua	Upéicha avei oisãmbyhy kuatiahaipyre itavapegua.	Así también dirigió el diario de su ciudad
guarani000293.wav	néi aháta nendive	Néi, aháta nendive.	Sí, iré contigo
guarani000294.wav	upeichaite jeko oikojeýkuri mokõi pyhare	Upeichaite jeko oikojeýkuri mokõi pyhare.	Supuestamente pasó lo mismo por dos noches seguidas
guarani000295.wav	ndaikatuvéima ojejapo hese mba eve	Ndaikatuvéima ojejapo hese mbaʼeve.	Ya no se le puede hacer nada
guarani000296.wav	onohẽmbaitékuri umi pindo karai kurusu ojuhúva guive hapépe	Onohẽmbaitékuri umi pindo karai kurusu ojuhúva guive hapépe.	Quitó todos los ramos bendecidos aue encontró en su camino
